PID,Processname,process Create TIme,Local Address&port,Remote Address&port
1,systemd,34-18:12:34,192.168.2.1:22,192.168.2.44:49724
2,kthreadd,34-18:12:34,192.168.2.1:22,192.168.2.44:49724
3,rcu_gp,34-18:12:34,192.168.2.1:22,192.168.2.44:49724
4,rcu_par_gp,34-18:12:35,192.168.2.1:22,192.168.2.44:49724
6,kworker/0:0H-events_highpri,34-18:12:35,192.168.2.1:22,192.168.2.44:49724
8,mm_percpu_wq,34-18:12:35,192.168.2.1:22,192.168.2.44:49724
9,rcu_tasks_rude_,34-18:12:35,192.168.2.1:22,192.168.2.44:49724
10,rcu_tasks_trace,34-18:12:35,,
11,ksoftirqd/0,34-18:12:35,,
12,rcu_sched,34-18:12:35,192.168.2.1:46128,35.83.91.138:443
13,migration/0,34-18:12:36,192.168.2.1:22,192.168.2.44:49724
14,idle_inject/0,34-18:12:36,,
16,cpuhp/0,34-18:12:36,192.168.2.1:22,192.168.2.44:49724
17,cpuhp/1,34-18:12:36,192.168.2.1:46128,35.83.91.138:443
18,idle_inject/1,34-18:12:36,,
19,migration/1,34-18:12:36,192.168.2.1:22,192.168.2.44:49724
20,ksoftirqd/1,34-18:12:36,192.168.2.1:22,192.168.2.44:49724
22,kworker/1:0H-kblockd,34-18:12:37,192.168.2.1:22,192.168.2.44:49724
23,cpuhp/2,34-18:12:37,,
24,idle_inject/2,34-18:12:37,192.168.2.1:22,192.168.2.44:49724
25,migration/2,34-18:12:37,,
26,ksoftirqd/2,34-18:12:37,,
28,kworker/2:0H-events_highpri,34-18:12:37,192.168.2.1:46128,35.83.91.138:443
29,cpuhp/3,34-18:12:37,,
30,idle_inject/3,34-18:12:37,,
31,migration/3,34-18:12:38,,
32,ksoftirqd/3,34-18:12:38,192.168.2.1:22,192.168.2.44:49724
34,kworker/3:0H-events_highpri,34-18:12:38,,
35,kdevtmpfs,34-18:12:38,192.168.2.1:46128,35.83.91.138:443
36,netns,34-18:12:38,,
37,inet_frag_wq,34-18:12:38,192.168.2.1:22,192.168.2.44:49622
38,kauditd,34-18:12:38,192.168.2.1:46128,35.83.91.138:443
39,khungtaskd,34-18:12:39,,
40,oom_reaper,34-18:12:39,192.168.2.1:46128,35.83.91.138:443
41,writeback,34-18:12:39,,
42,kcompactd0,34-18:12:39,,
43,ksmd,34-18:12:39,192.168.2.1:46128,35.83.91.138:443
